Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million
128.0,Florida Man,TV Show,2023.0,Crime,"84,600,000",84.6M
129.0,Lucifer,TV Show,2016.0,Superhero,"84,400,000",84.4M
130.0,Shahmaran,TV Show,2023.0,Fantasy,"83,600,000",83.6M
131.0,Breaking Bad,TV Show,2008.0,Crime,"83,200,000",83.2M
132.0,The Last Kingdom: Seven Kings Must Die,Movie,2023.0,History,"83,200,000",83.2M
133.0,Selling Sunset,TV Show,2019.0,Reality-Show,"82,800,000",82.8M
134.0,Cocomelon,TV Show,2020.0,Animation,"82,500,000",82.5M
135.0,Suits,TV Show,2011.0,Drama,"82,500,000",82.5M
136.0,Sam & Cat,TV Show,2013.0,Comedy,"82,400,000",82.4M
137.0,Gilmore Girls,TV Show,2000.0,Drama,"82,100,000",82.1M
138.0,Sonic Prime,TV Show,2022.0,Animation,"82,100,000",82.1M
139.0,Peppa Pig,TV Show,2004.0,Animation,"81,800,000",81.8M
140.0,Manifest,TV Show,2018.0,Thriller,"81,700,000",81.7M
141.0,Roald Dahl's Matilda the Musical,Movie,2022.0,Musical,"81,000,000",81.0M
142.0,Better Call Saul,TV Show,2015.0,Crime,"80,800,000",80.8M
143.0,Sing,Movie,2016.0,Animation,"80,500,000",80.5M
144.0,Fighting Spirit,TV Show,2000.0,Animation,"80,300,000",80.3M
145.0,All Quiet on the Western Front,Movie,2022.0,War,"80,000,000",80.0M
146.0,Hasta el cielo: La serie,TV Show,2023.0,Crime,"79,700,000",79.7M
147.0,Alpha Males,TV Show,2022.0,Comedy,"78,200,000",78.2M
148.0,Record of Ragnarok,TV Show,2021.0,Animation,"78,200,000",78.2M
149.0,Chupa,Movie,2023.0,Adventure,"77,800,000",77.8M
150.0,Stranger Things,TV Show,2016.0,Thriller,"77,800,000",77.8M
151.0,PAW Patrol: The Movie,Movie,2021.0,Animation,"77,200,000",77.2M
152.0,Sing 2,Movie,2021.0,Animation,"76,600,000",76.6M
153.0,The Crown,TV Show,2016.0,History,"76,300,000",76.3M
154.0,Next in Fashion,TV Show,2020.0,Reality-Show,"75,700,000",75.7M
155.0,Gilmore Girls,TV Show,2000.0,Drama,"75,200,000",75.2M
156.0,Lucifer,TV Show,2016.0,Superhero,"75,200,000",75.2M
157.0,The Boss Baby,Movie,2017.0,Animation,"75,100,000",75.1M
158.0,Treason,TV Show,2022.0,Crime,"74,300,000",74.3M
159.0,Trolls,Movie,2016.0,Animation,"73,400,000",73.4M
160.0,Blood Ties,TV Show,2022.0,Drama,"73,300,000",73.3M
161.0,Money Heist,TV Show,2017.0,Action,"73,100,000",73.1M
162.0,Rough Diamonds,TV Show,2023.0,Crime,"72,800,000",72.8M
163.0,Vincenzo,TV Show,2021.0,Action,"72,800,000",72.8M
164.0,The Walking Dead,TV Show,2010.0,Horror,"72,200,000",72.2M
165.0,The Witcher,TV Show,2019.0,Fantasy,"72,200,000",72.2M
166.0,Gabby's Dollhouse,TV Show,2021.0,Animation,"71,600,000",71.6M
167.0,The Walking Dead,TV Show,2010.0,Horror,"71,600,000",71.6M
168.0,Carrossel,TV Show,2012.0,Drama,"71,300,000",71.3M
169.0,Gilmore Girls,TV Show,2000.0,Drama,"71,300,000",71.3M
170.0,Red Rose,TV Show,2022.0,Drama,"71,100,000",71.1M
171.0,Fauda,TV Show,2015.0,Action,"71,000,000",71.0M
172.0,New Amsterdam,TV Show,2018.0,Drama,"70,600,000",70.6M
173.0,Gilmore Girls,TV Show,2000.0,Drama,"69,900,000",69.9M
174.0,Gilmore Girls,TV Show,2000.0,Drama,"69,800,000",69.8M
